"subject_id","trial_number","categorical_condition","random_intercept","random_slope_trial","categorical_coded","fixed_categorical","interaction_term","random_error","dependent_variable"
"1",1,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,4,-17.8542761785426,1333.47673257043
"1",2,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-8,-18.3012334113175,1143.30409892464
"1",3,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,12,-42.7198158150655,1219.6811458086
"1",4,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-16,-14.5779207700944,1053.81912624506
"1",5,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-20,-15.6773272903332,1003.35846525289
"1",6,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,24,16.2595294383455,1234.9116971503
"1",7,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,28,33.1592465902339,1234.65852514322
"1",8,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-32,-18.3329114768287,853.217489814907
"1",9,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-36,-34.6139780067639,773.439185761961
"1",10,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,40,-19.642040927309,1034.02699746372
"1",11,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,44,-31.7235676680907,977.807497442459
"1",12,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-48,24.6142917176338,742.803504147298
"1",13,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-52,35.9935800425971,716.440729756605
"1",14,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,56,-27.269853590925,887.742383391347
"1",15,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,60,7.37900794961225,921.764980930425
"1",16,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-64,2.76506079274372,507.259675899322
"1",17,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-68,11.9377629534599,476.635713634252
"1",18,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,72,-0.467700741895963,807.946245470439
"1",19,"Simple",-69.8468235648106,-13.0308181182078,0.5,-32.5,-76,22.3148533829701,400
"1",20,"Complex",-69.8468235648106,-13.0308181182078,-0.5,32.5,80,-26.1140914048282,692.642739834035
"2",1,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,4,24.2562660371401,1781.54326672829
"2",2,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,8,-2.95617234659898,1732.61906936879
"2",3,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-12,20.578187382025,1609.82325861807
"2",4,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,16,24.5998239823008,1793.08577153084
"2",5,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-20,23.3595034097446,1591.54906405185
"2",6,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,24,-27.3384829392178,1700.03924743357
"2",7,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,28,26.5969862198756,1807.82158855206
"2",8,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-32,11.6655920962255,1533.49880628004
"2",9,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-36,28.888696312038,1554.93609982318
"2",10,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-40,-39.3689411312201,1411.29962205739
"2",11,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,44,15.2609404923854,1800.43570037295
"2",12,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-48,36.8756509627333,1534.89200231956
"2",13,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-52,25.1778293287403,1500.47944936962
"2",14,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,56,36.233729126029,NA
"2",15,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-60,34.464668988668,1494.76821693342
"2",16,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,64,23.6238105886855,1834.71717974064
"2",17,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,68,4.05146480585022,1800.54693601214
"2",18,"Complex",101.157866536961,5.87784620593265,-0.5,32.5,72,-15.4661183859562,1766.4824455475
"2",19,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-76,-16.3508299390863,1349.34675861468
"2",20,"Simple",101.157866536961,5.87784620593265,0.5,-32.5,-80,33.1506130150172,1433.11747374146
"3",1,"Complex",-44.4263836301499,0.695711573392867,-0.5,32.5,4,-17.4030923960155,1409.94561191321
"3",2,"Simple",-44.4263836301499,0.695711573392867,0.5,-32.5,-8,48.3129212831491,1374.04937897076
"3",3,"Complex",-44.4263836301499,0.695711573392867,-0.5,32.5,12,7.04112665397643,1444.38841931048
"3",4,"Complex",-44.4263836301499,0.695711573392867,-0.5,32.5,16,16.2606889436602,1455.81153691511
"3",5,"Simple",-44.4263836301499,0.695711573392867,0.5,-32.5,-20,-45.3188318399959,1127.7451148605
"3",6,"Simple",-44.4263836301499,0.695711573392867,0.5,-32.5,-24,58.0357365896311,1305.50546854047
"3",7,"Complex",-44.4263836301499,0.695711573392867,-0.5,32.5,28,47.5716746344724,1497.1339256381
