"","Subject","Event","TrialN","mean_pupil","time"
"1","Subject_1","Square",2,-0.00278030833657494,0
"2","Subject_1","Square",2,-0.0101116998838653,50
"3","Subject_1","Square",2,-0.0269476070999448,100
"4","Subject_1","Square",2,-0.0340464777249498,150
"5","Subject_1","Square",2,-0.0451296507561754,200
"6","Subject_1","Square",2,-0.0606448845368601,250
"7","Subject_1","Square",2,-0.055312192770455,300
"8","Subject_1","Square",2,-0.0741335434568704,350
"9","Subject_1","Square",2,-0.10273072133672,400
"10","Subject_1","Square",2,-0.0957063554931854,450
"11","Subject_1","Square",2,-0.107266963950785,500
"12","Subject_1","Square",2,-0.0968515649396404,550
"13","Subject_1","Square",2,-0.0959438651761153,600
"14","Subject_1","Square",2,-0.0697503225347154,650
"15","Subject_1","Square",2,-0.0563942849686101,700
"16","Subject_1","Square",2,-0.0289583899416654,750
"17","Subject_1","Square",2,-0.002931510251313,800
"18","Subject_1","Square",2,0.0318094073998321,850
"19","Subject_1","Square",2,0.0665503250509767,900
"20","Subject_1","Square",2,0.101291242702122,950
"21","Subject_1","Square",2,0.136032160353266,1000
"22","Subject_1","Square",2,0.170773078004411,1050
"23","Subject_1","Square",2,0.205513995655556,1100
"24","Subject_1","Square",2,0.240254913306701,1150
"25","Subject_1","Square",2,0.272789704575115,1200
"26","Subject_1","Square",2,0.307720080588205,1250
"27","Subject_1","Square",2,0.33963868373753,1300
"28","Subject_1","Square",2,0.38581403191778,1350
"29","Subject_1","Square",2,0.38823535754004,1400
"30","Subject_1","Square",2,0.41020276604639,1450
"31","Subject_1","Square",2,0.430601966831695,1500
"32","Subject_1","Square",2,0.45915367292252,1550
"33","Subject_1","Square",2,0.454572628694835,1600
"34","Subject_1","Square",2,0.436737074706715,1650
"35","Subject_1","Square",2,0.488084824975595,1700
"36","Subject_1","Square",2,0.49198723558587,1750
"37","Subject_1","Square",2,0.499950450663085,1800
"38","Subject_1","Square",2,0.51315611862293,1850
"39","Subject_1","Square",2,0.542831868755355,1900
"40","Subject_1","Square",2,0.545776943851685,1950
"41","Subject_1","Circle",3,0.0127438260875148,0
"42","Subject_1","Circle",3,0.0134637784940099,50
"43","Subject_1","Circle",3,0.0187158867786601,100
"44","Subject_1","Circle",3,0.0307466672529348,150
"45","Subject_1","Circle",3,0.0331635819308702,200
"46","Subject_1","Circle",3,0.0370311067441,250
"47","Subject_1","Circle",3,0.0410026524313252,300
"48","Subject_1","Circle",3,0.0349383782029205,350
"49","Subject_1","Circle",3,0.05456666047013,400
"50","Subject_1","Circle",3,0.04600355499305,450
"51","Subject_1","Circle",3,0.0534368794392699,500
"52","Subject_1","Circle",3,0.020450414853685,550
"53","Subject_1","Circle",3,0.0165168585766602,600
"54","Subject_1","Circle",3,0.00202162949564499,650
"55","Subject_1","Circle",3,-0.0190017728374445,700
"56","Subject_1","Circle",3,-0.039402988925465,750
"57","Subject_1","Circle",3,-0.0390713879592841,800
"58","Subject_1","Circle",3,-0.0412527163700047,850
"59","Subject_1","Circle",3,-0.0437696337669897,900
"60","Subject_1","Circle",3,-0.0462865511639743,950
"61","Subject_1","Circle",3,-0.0488034685609593,1000
"62","Subject_1","Circle",3,-0.0513203859579443,1050
"63","Subject_1","Circle",3,-0.0538373033549293,1100
"64","Subject_1","Circle",3,-0.0563542207519143,1150
"65","Subject_1","Circle",3,-0.0588711381488993,1200
"66","Subject_1","Circle",3,-0.0695229436106453,1250
"67","Subject_1","Circle",3,-0.0550887970763401,1300
"68","Subject_1","Circle",3,-0.0458610810593147,1350
"69","Subject_1","Circle",3,-0.0374745562286298,1400
"70","Subject_1","Circle",3,-0.0417325484182149,1450
"71","Subject_1","Circle",3,-0.0503827429439148,1500
"72","Subject_1","Circle",3,-0.044407378154165,1550
"73","Subject_1","Circle",3,-0.0646744744450349,1600
"74","Subject_1","Circle",3,-0.11498597730747,1650
"75","Subject_1","Circle",3,-0.1105512892033,1700
"76","Subject_1","Circle",3,-0.13637697500696,1750
"77","Subject_1","Circle",3,-0.168500258622365,1800
"78","Subject_1","Circle",3,-0.17918558890222,1850
"79","Subject_1","Circle",3,-0.20582086970177,1900
"80","Subject_1","Circle",3,-0.24577577660331,1950
"81","Subject_1","Circle",4,0,0
"82","Subject_1","Circle",4,0,50
"83","Subject_1","Circle",4,-0.045617007363715,100
"84","Subject_1","Circle",4,-0.0678221300826993,150
"85","Subject_1","Circle",4,-0.0609689373203497,200
"86","Subject_1","Circle",4,-0.0670253930689695,250
"87","Subject_1","Circle",4,-0.0870587766281745,300
"88","Subject_1","Circle",4,-0.0541019458661394,350
"89","Subject_1","Circle",4,-0.0321245083773949,400
"90","Subject_1","Circle",4,0.00490490223088047,450
"91","Subject_1","Circle",4,0.0554749610084904,500
"92","Subject_1","Circle",4,0.0746208454387154,550
"93","Subject_1","Circle",4,0.161179624775696,600
"94","Subject_1","Circle",4,0.228912089381455,650
"95","Subject_1","Circle",4,0.297493548628866,700
"96","Subject_1","Circle",4,0.375272618071626,750
"97","Subject_1","Circle",4,0.474815404215141,800
"98","Subject_1","Circle",4,0.528651562061966,850
